Date,Volatility
2001/1/2,0.749895
2001/1/3,0.368241
2001/1/4,1.33933
2001/1/5,0.439658
2001/1/8,0.411211
2001/1/9,0.620894
2001/1/10,1.64603
2001/1/11,0.609589
2001/1/12,0.592153
2001/1/16,0.53392
2001/1/17,1.6972
2001/1/18,0.502061
2001/1/19,0.370963
2001/1/22,0.878834
2001/1/23,0.521947
2001/1/24,0.833052
2001/1/25,0.454536
2001/1/26,0.612717
2001/1/29,0.653413
2001/1/30,0.448775
2001/1/31,0.516167
2001/2/1,1.7682
2001/2/2,0.819958
2001/2/5,1.46562
2001/2/6,0.503203
2001/2/7,1.56982
2001/2/8,1.1368
2001/2/9,0.454876
2001/2/12,0.687939
2001/2/13,0.925377
2001/2/14,1.32665
2001/2/15,0.368307
2001/2/16,0.239584
2001/2/20,0.253961
2001/2/21,0.511329
2001/2/22,0.256811
2001/2/23,0.232455
2001/2/26,0.269619
2001/2/27,0.535781
2001/2/28,0.444951
2001/3/1,0.228135
2001/3/2,0.239708
2001/3/5,0.195551
2001/3/6,0.239717
2001/3/7,0.171359
2001/3/9,0.131611
2001/3/12,0.542625
2001/3/13,0.46804
2001/3/14,0.357443
2001/3/15,0.0906937
2001/3/16,0.196447
2001/3/19,0.240362
2001/3/20,0.566948
2001/3/21,0.134111
2001/3/22,0.546328
2001/3/23,0.172633
2001/3/26,0.223484
2001/3/27,0.488346
2001/3/28,0.111475
2001/3/30,0.14826
2001/4/2,0.545713
2001/4/3,0.164539
2001/4/4,0.106123
2001/4/5,0.721203
2001/4/6,0.108467
2001/4/9,0.224006
2001/4/10,0.237652
2001/4/11,0.632236
2001/4/12,0.282666
2001/4/16,0.212988
2001/4/17,0.530192
2001/4/18,0.206409
2001/4/19,0.137118
2001/4/20,0.20661
2001/4/23,0.0504125
2001/4/24,0.279865
2001/4/25,0.248791
2001/4/26,0.112565
2001/4/27,0.176718
2001/4/30,0.302137
2001/5/1,0.260225
2001/5/2,0.282009
2001/5/3,0.477758
2001/5/4,0.0424319
2001/5/7,0.577447
2001/5/8,0.274174
2001/5/9,0.204835
2001/5/10,0.585706
2001/5/11,0.104867
2001/5/14,0.423638
2001/5/15,0.617996
2001/5/16,0.941346
2001/5/17,0.230173
2001/5/18,0.230594
2001/5/21,0.467768
2001/5/22,0.265047
2001/5/23,0.235529
2001/5/24,0.490652
2001/5/25,0.0960885
2001/5/29,0.0795513
2001/5/30,1.27353
2001/5/31,0.384467
2001/6/1,0.241459
2001/6/4,0.258809
2001/6/5,0.978495
2001/6/6,0.376013
2001/6/7,0.297476
2001/6/8,0.220668
2001/6/11,0.788877
2001/6/12,0.91132
2001/6/13,0.710447
2001/6/14,0.27935
2001/6/15,0.280318
2001/6/18,0.335194
2001/6/19,0.298434
2001/6/20,0.705984
2001/6/21,0.305898
2001/6/22,0.161533
2001/6/25,0.920856
2001/6/26,0.339353
2001/6/27,0.0211556
2001/6/28,0.274831
2001/6/29,0.168217
2001/7/2,1.20667
2001/7/3,0.373267
2001/7/5,0.540197
2001/7/6,0.174622
2001/7/9,0.127624
2001/7/10,0.696899
2001/7/11,0.292329
2001/7/12,0.299803
2001/7/13,0.562293
2001/7/16,0.488124
2001/7/17,0.475882
2001/7/18,0.491976
2001/7/19,0.579267
2001/7/20,0.250906
2001/7/23,0.240959
2001/7/24,0.00072429
2001/7/25,1.3942
2001/7/26,1.09719
2001/7/27,0.314024
2001/7/30,0.643307
2001/7/31,0.495647
2001/8/1,0.965119
2001/8/2,0.399558
2001/8/3,0.370551
2001/8/6,0.582048
2001/8/7,0.665889
2001/8/8,0.59718
2001/8/9,0.506746
2001/8/10,0.133146
2001/8/13,0.24989
2001/8/14,0.439524
2001/8/15,1.58552
2001/8/16,1.1172
2001/8/17,0.587578
2001/8/20,0.272426
2001/8/21,0.250991
2001/8/24,0.277623
2001/8/27,0.609451
2001/8/28,0.642314
2001/8/29,0.259084
2001/8/30,0.885709
2001/8/31,0.357986
2001/9/4,0.632427
2001/9/5,0.361638
2001/9/6,0.407206
2001/9/7,0.248675
2001/9/10,0.501039
2001/9/14,1.3147
2001/9/18,0.347446
2001/9/19,0.424046
2001/9/20,0.197557
2001/9/21,0.245476
2001/9/24,0.403118
2001/9/25,0.172605
2001/9/26,0.231824
2001/9/27,0.278434
2001/9/28,0.343076
2001/10/1,0.161473
2001/10/2,0.675133
2001/10/3,0.347013
2001/10/4,0.722154
2001/10/5,0.208313
2001/10/12,0.451442
2001/10/16,0.92877
2001/10/18,0.513882
2001/10/19,0.847917
2001/10/23,1.13289
2001/10/24,0.474478
2001/10/26,0.281509
2001/10/31,0.401365
2001/11/2,0.304305
2001/11/5,0.849033
2001/11/6,0.306535
2001/11/7,0.425216
2001/11/8,0.530106
2001/11/9,0.269303
2001/11/12,0.321077
2001/11/13,0.549221
2001/11/14,0.46031
2001/11/15,0.321073
2001/11/16,0.418232
2001/11/19,1.79859
2001/11/20,0.363835
2001/11/21,0.640791
2001/11/26,0.552211
2001/11/27,0.373914
2001/11/28,0.790457
2001/11/29,0.759338
2001/11/30,0.719775
2001/12/3,0.421481
2001/12/4,0.311255
2001/12/5,0.569112
2001/12/6,0.594292
2001/12/7,0.662938
2001/12/10,0.732045
2001/12/11,0.495129
2001/12/12,0.28953
2001/12/13,0.434593
2001/12/14,0.593817
2001/12/17,1.1289
2001/12/18,0.428814
2001/12/19,0.676914
2001/12/20,0.3239
2001/12/21,0.193028
2001/12/26,0.997446
2001/12/27,0.373228
2001/12/28,0.426042
2001/12/31,0.00109201
2002/1/2,0.38013
2002/1/3,1.03544
2002/1/4,0.244675
2002/1/7,0.541892
2002/1/8,0.382086
2002/1/9,0.262768
2002/1/10,0.545029
2002/1/11,0.438195
2002/1/14,0.497815
2002/1/15,0.432714
2002/1/16,0.533606
2002/1/17,0.351242
2002/1/22,0.433668
2002/1/23,0.247537
2002/1/24,0.571258
2002/1/25,0.411444
2002/1/28,1.21727
2002/1/29,0.20929
2002/1/30,0.310845
2002/1/31,0.278001
2002/2/1,0.120449
2002/2/4,0.509111
2002/2/5,0.57021
2002/2/6,0.395337
2002/2/7,0.451711
2002/2/8,0.145166
2002/2/11,1.02635
2002/2/12,0.359801
2002/2/13,0.421012
2002/2/14,0.472474
2002/2/15,0.213188
2002/2/19,0.938056
2002/2/20,0.524481
2002/2/21,0.422268
2002/2/22,0.203362
2002/2/25,0.400526
2002/2/26,0.348932
2002/2/27,0.466494
2002/2/28,0.622696
2002/3/1,0.232913
2002/3/4,0.338628
2002/3/5,0.154446
2002/3/6,0.767069
2002/3/7,0.70484
2002/3/8,0.319279
2002/3/11,0.966956
2002/3/12,0.477719
2002/3/13,0.906986
2002/3/14,0.901139
2002/3/15,0.262981
2002/3/18,0.639409
2002/3/19,0.469873
2002/3/20,0.728506
2002/3/21,1.36306
2002/3/22,1.63284
2002/3/25,0.940487
2002/3/26,0.221725
2002/3/27,0.536194
2002/3/28,0.684044
2002/4/1,0.868771
2002/4/3,0.058469
2002/4/4,0.929643
2002/4/5,0.141336
2002/4/8,0.343789
2002/4/9,0.383106
2002/4/10,0.318832
2002/4/11,0.151314
2002/4/12,0.299242
2002/4/15,1.02401
2002/4/16,0.711729
2002/4/17,0.760718
2002/4/18,0.369524
2002/4/19,0.176161
2002/4/22,0.282393
2002/4/23,0.253841
2002/4/24,0.571739
2002/4/25,0.815625
2002/4/26,0.0983692
2002/4/29,0.77372
2002/4/30,0.56411
2002/5/1,0.401858
2002/5/2,0.266803
2002/5/3,0.239431
2002/5/6,0.313227
2002/5/7,0.967469
2002/5/8,0.291936
2002/5/9,0.270609
2002/5/10,0.279363
2002/5/13,0.584623
2002/5/14,0.2007
2002/5/15,0.528133
2002/5/16,0.258539
2002/5/17,0.245815
2002/5/20,0.411742
2002/5/21,0.0943416
2002/5/22,0.185444
2002/5/23,0.396875
2002/5/24,0.189142
2002/5/28,0.152333
2002/5/29,0.135391
2002/5/30,1.2502
2002/5/31,0.00413603
2002/6/3,0.295393
2002/6/4,0.193796
2002/6/5,0.159805
2002/6/6,0.546462
2002/6/7,0.143808
2002/6/10,0.352852
2002/6/11,0.198301
2002/6/12,0.500725
2002/6/13,0.969519
2002/6/14,0.00020543
2002/6/17,0.360587
2002/6/18,0.222672
2002/6/19,0.249303
2002/6/20,0.862299
2002/6/21,0.199288
2002/6/24,0.605147
2002/6/25,0.539029
2002/6/26,0.297942
2002/6/27,0.397349
2002/6/28,0.163694
