DATE,OVX
2009/9/18,41.67
2009/9/21,41.4
2009/9/22,40.38
2009/9/23,41.23
2009/9/24,44.28
2009/9/25,44.27
2009/9/28,43.91
2009/9/29,43.74
2009/9/30,45.23
2009/10/1,45.59
2009/10/2,45.22
2009/10/5,45.14
2009/10/6,45.47
2009/10/7,45.25
2009/10/8,43.36
2009/10/9,43.6
2009/10/12,43.2
2009/10/13,41.54
2009/10/14,42.09
2009/10/15,40.09
2009/10/16,36.91
2009/10/19,38.41
2009/10/20,39.06
2009/10/21,39.96
2009/10/22,40.47
2009/10/23,39.5
2009/10/26,40.57
2009/10/27,39.82
2009/10/28,41.24
2009/10/29,39.41
2009/10/30,41.13
2009/11/2,41.78
2009/11/3,41.58
2009/11/4,40.6
2009/11/5,38.98
2009/11/6,38.7
2009/11/9,39.06
2009/11/10,38.12
2009/11/11,37.89
2009/11/12,38.78
2009/11/13,38.67
2009/11/16,37.56
2009/11/17,37.01
2009/11/18,35.69
2009/11/19,36.99
2009/11/20,36.8
2009/11/23,35.67
2009/11/24,37.06
2009/11/25,36.57
2009/11/27,43.36
2009/11/30,41.17
2009/12/1,40.23
2009/12/2,40.29
2009/12/3,40.56
2009/12/4,41.18
2009/12/7,42.49
2009/12/8,42.19
2009/12/9,43.08
2009/12/10,42.9
2009/12/11,43.05
2009/12/14,42.16
2009/12/15,41.54
2009/12/16,39.89
2009/12/17,39.08
2009/12/18,40.58
2009/12/21,39.25
2009/12/22,37.81
2009/12/23,36
2009/12/24,35.18
2009/12/28,36.48
2009/12/29,35.78
2009/12/30,34.95
2009/12/31,36.26
2010/1/4,35.44
2010/1/5,34.27
2010/1/6,34.4
2010/1/7,33.61
2010/1/8,31.34
2010/1/11,30
2010/1/12,31.61
2010/1/13,32.75
2010/1/14,30.86
2010/1/15,29.8
2010/1/19,28.52
2010/1/20,31.15
2010/1/21,32.51
2010/1/22,34.85
2010/1/25,33.33
2010/1/26,33.78
2010/1/27,34.23
2010/1/28,33.28
2010/1/29,34.05
2010/2/1,32.45
2010/2/2,32.44
2010/2/3,34.65
2010/2/4,38.51
2010/2/5,39.99
2010/2/8,39.53
2010/2/9,38.74
2010/2/10,37.91
2010/2/11,36.04
2010/2/12,36.04
2010/2/16,36.15
2010/2/17,35.38
2010/2/18,33.36
2010/2/19,34.63
2010/2/22,33.68
2010/2/23,34.88
2010/2/24,33.46
2010/2/25,33.56
2010/2/26,32.82
2010/3/1,34.29
2010/3/2,34.88
2010/3/3,34.53
2010/3/4,33.54
2010/3/5,32.67
2010/3/8,33.22
2010/3/9,33.19
2010/3/10,33.28
2010/3/11,32.7
2010/3/12,32.11
2010/3/15,33.38
2010/3/16,33.22
2010/3/17,32.47
2010/3/18,31.73
2010/3/19,31.85
2010/3/22,29.57
2010/3/23,29.23
2010/3/24,29.34
2010/3/25,30.13
2010/3/26,30.1
2010/3/29,30.17
2010/3/30,29.56
2010/3/31,29.61
2010/4/1,29.24
2010/4/5,29.65
2010/4/6,28.8
2010/4/7,29.04
2010/4/8,29.25
2010/4/9,29.15
2010/4/12,27.02
2010/4/13,27.26
2010/4/14,27.14
2010/4/15,26.9
2010/4/16,27.16
2010/4/19,29.02
2010/4/20,27.8
2010/4/21,27.67
2010/4/22,27.65
2010/4/23,26.68
2010/4/26,28.02
2010/4/27,28.02
2010/4/28,30.68
2010/4/29,29.53
2010/4/30,30.25
2010/5/3,30.18
2010/5/4,32.67
2010/5/5,35.61
2010/5/6,39.73
2010/5/7,42.61
2010/5/10,40.05
2010/5/11,38.87
2010/5/12,36.96
2010/5/13,36.46
2010/5/14,40.46
2010/5/17,41.13
2010/5/18,42.96
2010/5/19,44.03
2010/5/20,46.46
2010/5/21,44.57
2010/5/24,44.9
2010/5/25,45.8
2010/5/26,43.45
2010/5/27,40.7
2010/5/28,40.49
2010/6/1,46.06
2010/6/2,42.92
2010/6/3,41.72
2010/6/4,47.15
2010/6/7,46.78
2010/6/8,43.85
2010/6/9,42.55
2010/6/10,38.91
2010/6/11,39.37
2010/6/14,39.72
2010/6/15,37.72
2010/6/16,37.38
2010/6/17,36.29
2010/6/18,35.25
2010/6/21,35.36
2010/6/22,35.47
2010/6/23,36.76
2010/6/24,37.41
2010/6/25,35.82
2010/6/28,36.71
2010/6/29,39.16
2010/6/30,39.5
2010/7/1,41.22
2010/7/2,39.19
2010/7/6,40.24
2010/7/7,37.75
2010/7/8,35.78
2010/7/9,34.57
2010/7/12,33.2
2010/7/13,32.87
2010/7/14,33.16
2010/7/15,33.24
2010/7/16,34.13
2010/7/19,34.03
2010/7/20,32.43
2010/7/21,33.88
2010/7/22,33.59
2010/7/23,32.44
2010/7/26,33.07
2010/7/27,32.91
2010/7/28,33.79
2010/7/29,31.57
2010/7/30,31.52
2010/8/2,31.62
2010/8/3,32.09
2010/8/4,31.76
2010/8/5,31.32
2010/8/6,30.9
2010/8/9,31.31
2010/8/10,32.08
2010/8/11,34.18
2010/8/12,34.84
2010/8/13,34.62
2010/8/16,35.41
2010/8/17,33.56
2010/8/18,33.9
2010/8/19,34.18
2010/8/20,33.73
2010/8/23,33.56
2010/8/24,34.84
2010/8/25,33.24
2010/8/26,33.08
2010/8/27,32.13
2010/8/30,32.99
2010/8/31,34.51
2010/9/1,33.25
2010/9/2,32.66
2010/9/3,32.11
2010/9/7,33.28
2010/9/8,32.82
2010/9/9,31.81
2010/9/10,31.37
2010/9/13,31.72
2010/9/14,32.07
2010/9/15,31.97
2010/9/16,31.69
2010/9/17,31.08
2010/9/20,31.85
2010/9/21,32.81
2010/9/22,31.67
2010/9/23,31.4
2010/9/24,29.88
2010/9/27,30.87
2010/9/28,30.82
2010/9/29,30.8
2010/9/30,30.04
2010/10/1,30.46
2010/10/4,31.37
2010/10/5,31.88
2010/10/6,30.93
2010/10/7,32.29
2010/10/8,32.22
2010/10/11,33.26
2010/10/12,33.26
2010/10/13,33.19
2010/10/14,32.46
2010/10/15,33.42
2010/10/18,32.2
2010/10/19,33.99
2010/10/20,32.39
2010/10/21,33.65
2010/10/22,32.45
2010/10/25,33.05
2010/10/26,31.89
2010/10/27,32
2010/10/28,31.56
2010/10/29,32.12
2010/11/1,32.83
2010/11/2,33.33
2010/11/3,31.89
2010/11/4,30.78
2010/11/5,29.86
2010/11/8,30.82
2010/11/9,30.93
2010/11/10,30.25
2010/11/11,30.27
2010/11/12,30.92
2010/11/15,31.13
2010/11/16,33.43
2010/11/17,33.69
2010/11/18,31.49
2010/11/19,30.64
2010/11/22,30.84
2010/11/23,31.6
2010/11/24,30.03
2010/11/26,28.82
2010/11/29,30.75
2010/11/30,31.89
2010/12/1,31.17
2010/12/2,30.9
2010/12/3,31.7
2010/12/6,31.5
2010/12/7,32.17
2010/12/8,30.96
2010/12/9,30.41
2010/12/10,30.36
2010/12/13,29.25
2010/12/14,29
2010/12/15,28.46
2010/12/16,27.93
2010/12/17,26.82
2010/12/20,26.61
2010/12/21,25.83
2010/12/22,25.5
2010/12/23,25.42
2010/12/27,27.48
2010/12/28,27.88
2010/12/29,27.78
2010/12/30,29.27
2010/12/31,29.48
2011/1/3,28.21
2011/1/4,30.26
2011/1/5,29.32
2011/1/6,30.21
2011/1/7,29.64
2011/1/10,29.09
2011/1/11,28.01
2011/1/12,27.53
2011/1/13,27.73
2011/1/14,26.5
2011/1/18,26.52
2011/1/19,27.28
2011/1/20,27.4
2011/1/21,26.53
2011/1/24,27.1
2011/1/25,29.98
