Date,Volatility
2008/9/22,0.165809
2008/9/23,0.171634
2008/9/24,0.0899533
2008/9/25,0.152711
2008/9/26,0.113196
2008/9/29,0.206823
2008/9/30,0.159344
2008/10/1,0.149776
2008/10/2,0.140989
2008/10/3,0.170291
2008/10/6,0.14068
2008/10/7,0.191583
2008/10/8,0.179661
2008/10/9,0.151212
2008/10/10,0.178346
2008/10/13,0.197132
2008/10/14,0.140872
2008/10/15,0.1193
2008/10/16,0.174756
2008/10/17,0.116131
2008/10/20,0.24466
2008/10/21,0.132998
2008/10/22,0.203941
2008/10/23,0.167911
2008/10/24,0.25328
2008/10/27,0.207518
2008/10/28,0.190017
2008/10/29,0.23534
2008/10/30,0.28628
2008/10/31,0.19256
2008/11/3,0.138161
2008/11/4,0.17919
2008/11/5,0.232336
2008/11/6,0.185541
2008/11/7,0.183977
2008/11/10,0.124751
2008/11/11,0.149114
2008/11/12,0.165223
2008/11/13,0.227389
2008/11/14,0.145298
2008/11/17,0.126235
2008/11/18,0.110184
2008/11/19,0.162852
2008/11/20,0.109725
2008/11/21,0.182518
2008/11/24,0.18744
2008/11/25,0.191971
2008/11/26,0.153934
2008/11/27,0.0751722
2008/11/28,0.154646
2008/12/1,0.045313
2008/12/2,0.136768
2008/12/3,0.119745
2008/12/4,0.14478
2008/12/5,0.142485
2008/12/8,0.124839
2008/12/9,0.132708
2008/12/10,0.126674
2008/12/11,0.167801
2008/12/12,0.197296
2008/12/15,0.116409
2008/12/16,0.202428
2008/12/17,0.262711
2008/12/19,0.247282
2008/12/22,0.181597
2008/12/23,0.0754625
2008/12/24,0.105479
2008/12/26,0.102653
2008/12/29,0.17112
2008/12/30,0.161669
2008/12/31,0.164632
2009/1/2,0.173746
2009/1/5,0.223702
2009/1/6,0.173181
2009/1/7,0.18621
2009/1/8,0.167082
2009/1/9,0.178994
2009/1/12,0.15871
2009/1/13,0.140038
2009/1/14,0.16234
2009/1/15,0.181533
2009/1/16,0.164136
2009/1/19,0.111857
2009/1/20,0.145396
2009/1/21,0.196143
2009/1/22,0.156615
2009/1/23,0.144121
2009/1/26,0.153262
2009/1/27,0.174772
2009/1/28,0.157248
2009/1/29,0.133616
2009/1/30,0.137471
2009/2/2,0.112665
2009/2/3,0.137699
2009/2/4,0.152444
2009/2/5,0.145942
2009/2/6,0.133526
2009/2/9,0.108121
2009/2/10,0.180847
2009/2/11,0.125057
2009/2/12,0.139017
2009/2/13,0.122935
2009/2/16,0.0892682
2009/2/17,0.138968
2009/2/18,0.11079
2009/2/19,0.10064
2009/2/20,0.159808
2009/2/23,0.160837
2009/2/24,0.128174
2009/2/25,0.133593
2009/2/26,0.111803
2009/2/27,0.130378
2009/3/2,0.118303
2009/3/3,0.118015
2009/3/4,0.101964
2009/3/5,0.115666
2009/3/6,0.152195
2009/3/9,0.00124101
2009/3/10,0.144779
2009/3/11,0.149003
2009/3/12,0.167017
2009/3/13,0.118192
2009/3/16,0.117937
2009/3/17,0.107037
2009/3/18,0.221893
2009/3/19,0.161488
2009/3/20,0.165888
2009/3/23,0.143396
2009/3/24,0.135802
2009/3/25,0.182163
2009/3/26,0.112658
2009/3/27,0.128587
2009/3/30,0.12769
2009/3/31,0.118784
2009/4/1,0.109031
2009/4/2,0.173981
2009/4/3,0.105073
2009/4/6,0.092274
2009/4/7,0.108428
2009/4/8,0.109377
2009/4/9,0.109394
2009/4/13,0.100213
2009/4/14,0.100849
2009/4/15,0.10141
2009/4/16,0.10096
2009/4/17,0.0955603
2009/4/20,0.0991848
2009/4/21,0.0956769
2009/4/22,0.106491
2009/4/23,0.110499
2009/4/24,0.124639
2009/4/27,0.0985975
2009/4/28,0.0944868
2009/4/29,0.124875
2009/4/30,0.147918
2009/5/1,0.0931095
2009/5/4,0.0652993
2009/5/5,0.0960414
2009/5/6,0.119238
2009/5/7,0.149597
2009/5/8,0.506868
2009/5/11,0.0903295
2009/5/12,0.104176
2009/5/13,0.117045
2009/5/14,0.0773262
2009/5/15,0.0924922
2009/5/18,0.00021934
2009/5/19,0.0877543
2009/5/20,0.104262
2009/5/21,0.134967
2009/5/22,0.118095
2009/5/25,0.0684637
2009/5/26,0.0936131
2009/5/27,0.129732
2009/5/28,0.126983
2009/5/29,0.113826
2009/6/1,0.143713
2009/6/2,0.124397
2009/6/3,0.13382
2009/6/4,0.143952
2009/6/5,0.149189
2009/6/8,0.131488
2009/6/9,0.125945
2009/6/10,0.149804
2009/6/11,0.14497
2009/6/12,0.114441
2009/6/15,0.101939
2009/6/16,0.122701
2009/6/17,0.107762
2009/6/18,0.109821
2009/6/19,0.105034
2009/6/22,0.0973823
2009/6/23,0.109678
2009/6/24,0.145255
2009/6/25,0.0969507
2009/6/26,0.105861
2009/6/29,0.0905965
2009/6/30,0.0950347
2009/7/1,0.0958676
2009/7/2,0.0866874
2009/7/3,0.0524742
2009/7/6,0.0801974
2009/7/7,0.0963085
2009/7/8,0.0770429
2009/7/9,0.0954181
2009/7/10,0.0800247
2009/7/13,0.0668895
2009/7/14,0.0838499
2009/7/15,0.0771938
2009/7/16,0.0810238
2009/7/17,0.0686721
2009/7/20,0.0779167
2009/7/21,0.0811301
2009/7/22,0.073035
2009/7/23,0.0831879
2009/7/24,0.0651587
2009/7/27,0.0799633
2009/7/28,0.080498
2009/7/29,0.0976732
2009/7/30,0.0769062
2009/7/31,0.109503
2009/8/3,0.101762
2009/8/4,0.0730485
2009/8/5,0.0763814
2009/8/6,0.0702319
2009/8/7,0.106803
2009/8/10,0.0716586
2009/8/11,0.0714006
2009/8/12,0.109931
2009/8/13,0.0889313
2009/8/14,0.0769757
2009/8/17,0.0652791
2009/8/18,0.0697845
2009/8/19,0.0892434
2009/8/20,0.0757914
2009/8/21,0.0903425
2009/8/24,0.0653256
2009/8/25,0.0850916
2009/8/26,0.0697081
2009/8/27,0.0836866
2009/8/28,0.0734224
2009/8/31,0.0770961
2009/9/1,0.0981629
2009/9/2,0.0703031
2009/9/3,0.0810503
2009/9/4,0.0804354
2009/9/7,0.0490964
2009/9/8,0.0983995
2009/9/9,0.0694564
2009/9/10,0.0945911
2009/9/11,0.0867122
2009/9/14,0.0883901
2009/9/15,0.0877276
2009/9/16,0.0891031
2009/9/17,0.0715334
2009/9/18,0.0839385
2009/9/21,0.0843303
2009/9/22,0.0756346
2009/9/23,0.102215
2009/9/24,0.102159
2009/9/25,0.104743
2009/9/28,0.109454
2009/9/29,0.104064
2009/9/30,0.0977022
2009/10/1,0.0923977
2009/10/2,0.104339
2009/10/5,0.0707412
2009/10/6,0.0874166
2009/10/7,0.0802266
2009/10/8,0.104943
2009/10/9,0.0899338
2009/10/12,0.0781361
2009/10/13,0.0913745
2009/10/14,0.0931007
2009/10/15,0.0835513
2009/10/16,0.0883696
2009/10/19,0.0843248
2009/10/20,0.0747089
2009/10/21,0.084419
2009/10/22,0.0798032
2009/10/23,0.0706909
2009/10/26,0.0752121
2009/10/27,0.0894397
2009/10/28,0.0850595
2009/10/29,0.0725078
2009/10/30,0.0849262
2009/11/2,0.0782187
2009/11/3,0.754699
2009/11/4,0.105336
2009/11/5,0.0694439
2009/11/6,0.081721
2009/11/9,0.0685387
2009/11/10,0.0732948
2009/11/11,0.0655488
2009/11/12,0.0829519
2009/11/13,0.0707635
2009/11/16,0.0851727
2009/11/17,0.0875968
2009/11/18,0.0784925
2009/11/19,0.0795259
2009/11/20,0.712528
2009/11/23,0.0644596
2009/11/24,0.0745011
2009/11/25,0.082766
2009/11/26,0.0969943
2009/11/27,0.134762
2009/11/30,0.0927484
2009/12/1,0.0783158
2009/12/2,0.0601544
2009/12/3,0.0634466
2009/12/4,0.0924841
2009/12/7,0.0958503
2009/12/8,0.0949872
2009/12/9,0.0939472
2009/12/10,0.0708322
2009/12/11,0.0792093
2009/12/14,0.0668213
2009/12/15,0.0764578
2009/12/16,0.0850475
2009/12/17,0.093087
2009/12/18,0.0885182
2009/12/21,0.0692842
2009/12/22,0.0744168
2009/12/23,0.0660127
2009/12/24,0.0545827
2009/12/28,0.0433861
2009/12/29,0.0727744
2009/12/30,0.0750481
2009/12/31,0.0849273
2010/1/4,0.0966854
2010/1/5,0.0931777
2010/1/6,0.0918796
2010/1/7,0.0785481
2010/1/8,0.112568
2010/1/11,0.0885317
2010/1/12,0.0922126
2010/1/13,0.0812343
2010/1/14,0.0738631
2010/1/15,0.0764477
2010/1/18,0.0375668
2010/1/19,0.0739719
2010/1/20,0.0942411
2010/1/21,0.103609
2010/1/22,0.0848034
2010/1/25,0.0569921
2010/1/26,0.0692383
2010/1/27,0.0756693
2010/1/28,0.0768502
2010/1/29,0.074743
2010/2/1,0.0681853
2010/2/2,0.06278
2010/2/3,0.0657997
2010/2/4,0.0752361
2010/2/5,0.113195
2010/2/8,0.0749258
2010/2/9,0.0982638
2010/2/10,0.0942128
2010/2/11,0.0852422
2010/2/12,0.0976079
2010/2/15,0.0582726
2010/2/16,0.0711778
2010/2/17,0.0883203
2010/2/18,0.102723
2010/2/19,0.0935913
2010/2/22,0.0761265
2010/2/23,0.095697
2010/2/24,0.0872627
2010/2/25,0.0856363
2010/2/26,0.0970901
2010/3/1,0.10379
2010/3/2,0.095572
2010/3/3,0.0935801
2010/3/4,0.090659
2010/3/5,0.0795478
2010/3/8,0.0682266
2010/3/9,0.0666286
2010/3/10,0.0686292
2010/3/11,0.0620462
2010/3/12,0.0721914
2010/3/15,0.0599804
2010/3/16,0.0840288
2010/3/17,0.0636933
2010/3/18,0.0805935
2010/3/19,0.0680483
2010/3/22,0.0706774
2010/3/23,0.0725423
2010/3/24,0.102321
2010/3/25,0.0938893
2010/3/26,0.0856781
2010/3/29,0.0696761
2010/3/30,0.0681546
2010/3/31,0.0788646
2010/4/1,0.0777087
2010/4/2,0.148408
2010/4/5,0.0618631
2010/4/6,0.0746625
2010/4/7,0.0585977
2010/4/8,0.0710217
2010/4/9,0.0796758
2010/4/12,0.07397
2010/4/13,0.0731436
2010/4/14,0.0760196
2010/4/15,0.0702126
2010/4/16,0.0796009
2010/4/19,0.0645745
2010/4/20,0.0672169
2010/4/21,0.0591256
2010/4/22,0.0802409
2010/4/23,0.092905
2010/4/26,0.080608
2010/4/27,0.0921629
2010/4/28,0.102611
2010/4/29,0.0765659
2010/4/30,0.0773828
2010/5/3,0.0869764
2010/5/4,0.0854237
2010/5/5,0.101681
