Date,Volatility
2001/1/2,0.126942
2001/1/3,0.475444
2001/1/4,0.217497
2001/1/5,0.409456
2001/1/8,0.200556
2001/1/9,0.234784
2001/1/10,0.956495
2001/1/11,0.116689
2001/1/12,0.00141694
2001/1/16,0.189059
2001/1/17,0.247837
2001/1/18,0.519277
2001/1/19,0.488164
2001/1/22,0.210086
2001/1/23,0.119335
2001/1/24,0.144656
2001/1/25,0.285356
2001/1/26,0.169881
2001/1/29,0.513439
2001/1/30,0.116993
2001/1/31,0.247452
2001/2/1,0.606741
2001/2/2,0.145691
2001/2/5,0.335897
2001/2/6,0.165524
2001/2/7,0.479819
2001/2/8,0.185668
2001/2/9,0.153821
2001/2/12,0.200906
2001/2/13,0.124085
2001/2/14,0.277729
2001/2/15,0.32322
2001/2/16,0.157223
2001/2/20,0.396894
2001/2/21,0.272653
2001/2/22,0.066229
2001/2/23,0.121274
2001/2/26,0.118924
2001/2/27,0.131037
2001/2/28,0.483224
2001/3/1,0.16762
2001/3/2,0.038206
2001/3/5,0.230883
2001/3/6,0.180865
2001/3/7,0.218491
2001/3/9,0.00199009
2001/3/12,0.103581
2001/3/13,0.224603
2001/3/14,0.66314
2001/3/15,0.148487
2001/3/16,0.153703
2001/3/19,0.221594
2001/3/20,0.319982
2001/3/21,0.0657007
2001/3/22,0.170921
2001/3/23,0.158208
2001/3/26,0.0724783
2001/3/27,0.133262
2001/3/28,0.637232
2001/3/29,0.0476662
2001/3/30,0.0493167
2001/4/2,0.402341
2001/4/3,0.343484
2001/4/4,0.365067
2001/4/5,0.132094
2001/4/6,0.130173
2001/4/9,0.136188
2001/4/10,0.21216
2001/4/11,0.126636
2001/4/12,0.103087
2001/4/16,0.356582
2001/4/17,0.262054
2001/4/18,0.0716237
2001/4/19,0.151683
2001/4/20,0.178011
2001/4/23,0.134419
2001/4/24,0.559017
2001/4/25,0.273137
2001/4/26,0.429621
2001/4/27,0.0877326
2001/4/30,0.15564
2001/5/1,0.364005
2001/5/2,0.285613
2001/5/3,0.491918
2001/5/4,0.0742841
2001/5/7,0.387713
2001/5/8,0.272817
2001/5/9,0.569552
2001/5/10,0.172263
2001/5/11,0.0706625
2001/5/14,0.128286
2001/5/15,0.230683
2001/5/16,0.180165
2001/5/17,0.161004
2001/5/18,0.537796
2001/5/21,0.152767
2001/5/22,0.180294
2001/5/23,0.0871453
2001/5/24,0.713975
2001/5/25,0.0550126
2001/5/29,0.134785
2001/5/30,0.203778
2001/5/31,0.205337
2001/6/1,0.170553
2001/6/4,0.195316
2001/6/5,0.184758
2001/6/6,0.0870035
2001/6/7,0.196442
2001/6/8,0.257895
2001/6/11,0.175927
2001/6/12,0.165683
2001/6/13,0.40376
2001/6/14,0.160341
2001/6/15,0.00193744
2001/6/18,0.432022
2001/6/19,0.187677
2001/6/20,0.667882
2001/6/21,0.137873
2001/6/22,0.145413
2001/6/25,0.206428
2001/6/26,0.234531
2001/6/27,0.509108
2001/6/28,0.227944
2001/6/29,0.323295
2001/7/2,0.350732
2001/7/3,0.139866
2001/7/5,0.368569
2001/7/6,0.155124
2001/7/9,0.21652
2001/7/10,0.123666
2001/7/11,0.109949
2001/7/12,0.248423
2001/7/13,0.137187
2001/7/16,0.219385
2001/7/17,0.463287
2001/7/18,0.322773
2001/7/19,0.302024
2001/7/20,0.337609
2001/7/23,0.199438
2001/7/24,0.0868004
2001/7/25,0.20487
2001/7/26,0.138526
2001/7/27,0.117537
2001/7/30,0.22697
2001/7/31,0.202295
2001/8/1,0.130254
2001/8/2,0.256109
2001/8/3,0.136639
2001/8/6,0.0913705
2001/8/7,0.224701
2001/8/8,0.261762
2001/8/9,0.184754
2001/8/10,0.0982717
2001/8/13,0.241594
2001/8/14,0.145085
2001/8/15,0.352839
2001/8/16,0.112618
2001/8/17,0.369283
2001/8/20,0.321036
2001/8/21,0.211355
2001/8/22,0.0556587
2001/8/23,0.307139
2001/8/24,0.0859104
2001/8/27,0.272604
2001/8/28,0.310192
2001/8/29,0.135537
2001/8/30,0.175906
2001/8/31,0.0788056
2001/9/4,0.134138
2001/9/5,0.115272
2001/9/6,0.306543
2001/9/7,0.102164
2001/9/10,0.204984
2001/9/14,0.302176
2001/9/18,0.255051
2001/9/19,0.372651
2001/9/20,0.220822
2001/9/21,0.300829
2001/9/24,1.04987
2001/9/25,0.692616
2001/9/26,0.938079
2001/9/27,0.189436
2001/9/28,0.225877
2001/10/1,0.438711
2001/10/2,0.392716
2001/10/3,0.163975
2001/10/4,0.298865
2001/10/5,0.225725
2001/10/8,0.331171
2001/10/10,0.24984
2001/10/11,0.320049
2001/10/12,0.484951
2001/10/15,0.33299
2001/10/16,0.252962
2001/10/17,0.359936
2001/10/18,0.222391
2001/10/19,0.197098
2001/10/22,0.149151
2001/10/23,0.445897
2001/10/24,0.101969
2001/10/25,0.250609
2001/10/26,0.129614
2001/10/29,0.291693
2001/10/30,0.289468
2001/11/2,0.337846
2001/11/6,0.186808
2001/11/7,0.174156
2001/11/8,0.445147
2001/11/9,0.437313
2001/11/12,0.54563
2001/11/13,0.314043
2001/11/14,0.521506
2001/11/15,1.40146
2001/11/16,0.501075
2001/11/19,0.954273
2001/11/20,0.455529
2001/11/26,0.524537
2001/11/27,0.776423
2001/11/28,0.119311
2001/11/29,0.56972
2001/11/30,0.402994
2001/12/3,0.764615
2001/12/4,0.638428
2001/12/5,0.735398
2001/12/6,0.773758
2001/12/7,0.232531
2001/12/10,0.236098
2001/12/11,0.296056
2001/12/12,0.283796
2001/12/13,0.258424
2001/12/14,0.179166
2001/12/17,0.320931
2001/12/19,0.200695
2001/12/20,0.584169
2001/12/26,1.26482
2001/12/27,0.376639
2001/12/28,0.292668
2001/12/31,0.211073
2002/1/2,0.790419
2002/1/3,0.413645
2002/1/4,0.237562
2002/1/7,0.209115
2002/1/8,0.227783
2002/1/9,0.465057
2002/1/10,0.326017
2002/1/11,0.119101
2002/1/14,0.506431
2002/1/15,0.314336
2002/1/16,0.488379
2002/1/17,0.780264
2002/1/22,0.288243
2002/1/23,0.265635
2002/1/24,0.355171
2002/1/25,0.252129
2002/1/28,0.37015
2002/1/29,0.259693
2002/1/30,0.211915
2002/1/31,0.338786
2002/2/1,0.348494
2002/2/4,0.269098
2002/2/5,0.263154
2002/2/6,0.300555
2002/2/7,0.246327
2002/2/8,0.0742677
2002/2/11,1.03289
2002/2/12,0.441362
2002/2/13,0.437467
2002/2/14,0.266133
2002/2/15,0.221906
2002/2/19,0.212407
2002/2/20,0.450841
2002/2/21,0.233792
2002/2/22,0.201157
2002/2/25,0.469277
2002/2/26,0.600744
2002/2/27,0.194928
2002/2/28,0.31593
2002/3/1,0.257871
2002/3/4,0.20069
2002/3/5,0.363584
2002/3/6,0.322715
2002/3/7,0.240184
2002/3/8,0.276973
2002/3/11,0.260306
2002/3/12,0.323669
2002/3/13,0.188619
2002/3/14,0.361004
2002/3/15,0.170816
2002/3/18,0.462938
2002/3/19,0.138256
2002/3/20,0.351758
2002/3/21,0.497738
2002/3/22,0.117056
2002/3/25,0.279496
2002/3/26,0.427993
2002/3/27,0.237563
2002/3/28,0.150569
2002/4/1,0.260689
2002/4/2,0.532333
2002/4/3,0.169888
2002/4/4,0.960395
2002/4/5,0.388549
2002/4/8,0.509544
2002/4/9,0.428235
2002/4/10,0.322867
2002/4/11,0.30381
2002/4/12,0.413664
2002/4/15,0.662735
2002/4/16,0.242602
2002/4/17,0.361862
2002/4/18,0.257137
2002/4/19,0.198563
2002/4/22,0.211172
2002/4/23,0.286568
2002/4/24,0.209753
2002/4/25,0.196829
2002/4/26,0.174058
2002/4/29,0.358773
2002/4/30,0.305164
2002/5/1,0.163749
2002/5/2,0.198003
2002/5/3,0.065481
2002/5/6,0.21786
2002/5/7,0.388038
2002/5/8,0.484116
2002/5/9,0.134688
2002/5/10,0.173268
2002/5/13,0.592512
2002/5/14,0.256298
2002/5/15,0.411729
2002/5/16,0.290104
2002/5/17,0.244187
2002/5/20,0.153189
2002/5/21,0.356025
2002/5/22,0.228295
2002/5/23,0.323145
2002/5/24,0.130887
2002/5/28,0.265045
2002/5/29,0.439516
2002/5/30,0.28915
2002/5/31,0.293758
2002/6/3,0.156409
2002/6/4,0.130584
2002/6/5,0.128292
2002/6/6,0.304696
2002/6/7,0.0961099
2002/6/10,0.301854
2002/6/11,0.121964
2002/6/12,0.202929
2002/6/13,0.40306
2002/6/14,0.13517
2002/6/17,0.210423
2002/6/18,0.308391
2002/6/19,0.162388
2002/6/20,0.0677266
2002/6/21,0.0752098
2002/6/24,0.434158
2002/6/25,0.365772
2002/6/26,0.48346
2002/6/27,0.113247
2002/6/28,0.24904
2002/7/1,0.141858
2002/7/2,0.196814
2002/7/3,0.189725
2002/7/8,0.212726
2002/7/9,0.184357
2002/7/10,0.149596
2002/7/11,0.150751
2002/7/12,0.168763
2002/7/15,0.366497
2002/7/16,0.340993
2002/7/17,0.308919
2002/7/18,0.146065
2002/7/19,0.310002
2002/7/22,0.462714
2002/7/23,0.361076
2002/7/24,0.279554
2002/7/25,0.135042
2002/7/26,0.0583015
2002/7/29,0.115544
2002/7/30,0.376327
2002/7/31,0.333399
2002/8/1,0.44733
2002/8/2,0.264815
2002/8/5,0.146203
2002/8/6,0.315312
2002/8/7,0.347493
2002/8/8,0.130403
2002/8/9,0.105128
2002/8/12,0.637113
2002/8/13,0.173572
2002/8/14,0.128443
2002/8/15,0.451099
2002/8/16,0.305582
2002/8/19,0.207125
2002/8/20,0.176885
2002/8/21,0.454715
2002/8/22,0.217007
2002/8/23,0.077135
2002/8/26,0.346721
2002/8/27,0.438657
2002/8/28,0.158078
2002/8/29,0.392974
2002/8/30,0.118131
2002/9/3,0.477676
2002/9/4,0.335943
2002/9/5,0.252831
2002/9/6,0.234644
2002/9/9,0.277335
2002/9/10,0.128325
2002/9/11,0.138821
2002/9/12,0.523714
2002/9/13,0.153769
2002/9/16,0.180443
2002/9/17,0.324631
2002/9/18,0.1054
2002/9/19,0.223879
2002/9/20,0.0661449
2002/9/23,0.359069
2002/9/24,0.320023
2002/9/25,0.220078
2002/9/26,0.221487
2002/9/27,0.109446
2002/9/30,0.118984
2002/10/1,0.152132
2002/10/2,0.233573
2002/10/3,0.266914
2002/10/4,0.142541
2002/10/7,0.179068
2002/10/8,0.273328
2002/10/9,0.164818
2002/10/10,0.149652
2002/10/11,0.148823
2002/10/14,0.466733
2002/10/15,0.229276
2002/10/16,0.237332
2002/10/17,0.299884
2002/10/18,0.0761779
2002/10/21,0.482886
2002/10/22,0.185713
2002/10/23,0.108328
2002/10/24,0.120305
2002/10/25,0.129332
2002/10/28,0.151783
2002/10/29,0.320033
2002/10/30,0.18037
2002/10/31,0.110776
2002/11/1,0.154423
2002/11/4,0.194435
2002/11/5,0.388462
2002/11/6,0.275032
2002/11/7,0.715723
2002/11/8,0.295543
2002/11/11,0.170829
2002/11/12,0.248797
2002/11/13,0.404492
2002/11/14,0.116317
2002/11/15,0.124546
2002/11/18,0.400647
2002/11/19,0.314018
2002/11/20,0.143898
2002/11/21,0.109791
2002/11/22,0.0667629
2002/11/25,0.446686
2002/11/26,0.223819
2002/11/27,0.118529
2002/12/2,0.303982
2002/12/3,0.223147
2002/12/4,0.226253
2002/12/5,0.266244
2002/12/6,0.125814
2002/12/9,0.167636
2002/12/10,0.378141
2002/12/11,0.204756
2002/12/12,0.292631
2002/12/13,0.202135
2002/12/16,0.603021
2002/12/17,0.140003
2002/12/18,0.421369
2002/12/19,0.232175
2002/12/20,0.208824
2002/12/23,0.563276
2002/12/24,0.0808963
