Date,Volatility
2011/9/1,0.0401615
2011/9/2,0.0777105
2011/9/6,0.0451216
2011/9/7,0.0373754
2011/9/8,0.0310186
2011/9/9,0.0371026
2011/9/12,0.0344882
2011/9/13,0.0322565
2011/9/14,0.0383172
2011/9/15,0.0399918
2011/9/16,0.0341581
2011/9/19,0.029517
2011/9/20,0.032305
2011/9/21,0.0535952
2011/9/22,0.037971
2011/9/23,0.0430869
2011/9/26,0.0414642
2011/9/27,0.031578
2011/9/28,0.0337858
2011/9/29,0.0385876
2011/9/30,0.0364905
2011/10/3,0.0344211
2011/10/4,0.0418029
2011/10/5,0.0348172
2011/10/6,0.0331788
2011/10/7,0.0530145
2011/10/10,0.0291039
2011/10/11,0.0330648
2011/10/12,0.0345861
2011/10/13,0.0354957
2011/10/14,0.0334719
2011/10/17,0.0357543
2011/10/18,0.0414548
2011/10/19,0.0391143
2011/10/20,0.0453917
2011/10/21,0.0284384
2011/10/24,0.0313624
2011/10/25,0.0374097
2011/10/26,0.0370812
2011/10/27,0.0470176
2011/10/28,0.0375194
2011/10/31,0.0307599
2011/11/1,0.0517952
2011/11/2,0.0453105
2011/11/3,0.0393571
2011/11/4,0.033959
2011/11/7,0.0313314
2011/11/8,0.0292169
2011/11/9,0.0381579
2011/11/10,0.0381417
2011/11/11,0.0211178
2011/11/14,0.0281298
2011/11/15,0.0282701
2011/11/16,0.027455
2011/11/17,0.0356665
2011/11/18,0.0282953
2011/11/21,0.0225202
2011/11/22,0.0244194
2011/11/23,0.0277539
2011/11/25,0.0226536
2011/11/28,0.0314776
2011/11/29,0.0351662
2011/11/30,0.0416001
2011/12/1,0.0321215
2011/12/2,0.0394778
2011/12/5,0.0273479
2011/12/6,0.0259771
2011/12/7,0.0280139
2011/12/8,0.0291502
2011/12/9,0.0330121
2011/12/12,0.0195659
2011/12/13,0.0303642
2011/12/14,0.0251145
2011/12/15,0.0236553
2011/12/16,0.0257163
2011/12/19,0.0229803
2011/12/20,0.0273236
2011/12/21,0.0306008
2011/12/22,0.0230722
2011/12/23,0.0221332
2011/12/27,0.0228573
2011/12/28,0.0200729
2011/12/29,0.0202341
2011/12/30,0.0232814
2012/1/3,0.0288238
2012/1/4,0.0223742
2012/1/5,0.03174
2012/1/6,0.0299019
2012/1/9,0.0211426
2012/1/10,0.0167972
2012/1/11,0.0200755
2012/1/12,0.0183555
2012/1/13,0.0203975
2012/1/17,0.0171007
2012/1/18,0.021473
2012/1/19,0.0226252
2012/1/20,0.0197628
2012/1/23,0.0209805
2012/1/24,0.0193626
2012/1/25,0.0377065
2012/1/26,0.0244824
2012/1/27,0.0215124
2012/1/30,0.016969
2012/1/31,0.0183678
2012/2/1,0.0157526
2012/2/2,0.0160921
2012/2/3,0.0285811
2012/2/6,0.0143697
2012/2/7,0.0198815
2012/2/8,0.0201404
2012/2/9,0.0236173
2012/2/10,0.0210619
2012/2/13,0.0202588
2012/2/14,0.0213685
2012/2/15,0.0239031
2012/2/16,0.024483
2012/2/17,0.0219729
2012/2/21,0.0229613
2012/2/22,0.0210899
2012/2/23,0.0237315
2012/2/24,0.0183736
2012/2/27,0.0179542
2012/2/28,0.0210035
2012/2/29,0.029198
2012/3/2,0.018709
2012/3/5,0.0181859
2012/3/6,0.0201582
2012/3/7,0.020292
2012/3/8,0.0200978
2012/3/9,0.0384332
2012/3/12,0.0184331
2012/3/13,0.0278562
2012/3/14,0.0398745
2012/3/15,0.0409793
2012/3/16,0.0358278
2012/3/19,0.0368619
2012/3/20,0.0350891
2012/3/21,0.0309474
2012/3/22,0.0337847
2012/3/23,0.0285989
2012/3/26,0.0300955
2012/3/27,0.0285971
2012/3/28,0.0268874
2012/3/29,0.0261152
2012/3/30,0.0306156
2012/4/2,0.0288807
2012/4/3,0.0363002
2012/4/4,0.0315343
2012/4/5,0.0294061
2012/4/6,0.05312
2012/4/9,0.0246151
2012/4/10,0.0278648
2012/4/11,0.0219883
2012/4/12,0.0241006
2012/4/13,0.0176321
2012/4/16,0.0210682
2012/4/17,0.0201626
2012/4/18,0.0153122
2012/4/19,0.0173022
2012/4/20,0.0157736
2012/4/23,0.0166517
2012/4/24,0.0175001
2012/4/25,0.0297291
2012/4/26,0.0197532
2012/4/27,0.0213061
2012/4/30,0.0219184
2012/5/1,0.0146114
2012/5/2,0.0167415
2012/5/3,0.015658
2012/5/4,0.0474391
2012/5/7,0.0157592
2012/5/8,0.0158364
2012/5/9,0.019322
2012/5/10,0.022768
2012/5/11,0.0154088
2012/5/14,0.0173087
2012/5/15,0.0204365
2012/5/16,0.0254416
2012/5/17,0.020501
2012/5/18,0.0200273
2012/5/21,0.0207698
2012/5/22,0.0178936
2012/5/23,0.0179015
2012/5/24,0.018357
2012/5/25,0.0134467
2012/5/29,0.0175296
2012/5/30,0.0219939
2012/5/31,0.0277772
2012/6/1,0.0371204
2012/6/4,0.0220335
2012/6/5,0.0264686
2012/6/6,0.0287731
2012/6/7,0.0274443
2012/6/8,0.0235205
2012/6/11,0.0294247
2012/6/12,0.0273962
2012/6/13,0.0295103
2012/6/14,0.0260219
2012/6/15,0.0225305
2012/6/18,0.0244193
2012/6/19,0.0209527
2012/6/20,0.0411822
2012/6/21,0.0240421
2012/6/22,0.0178662
2012/6/25,0.0185563
2012/6/26,0.0186613
2012/6/27,0.0181936
2012/6/28,0.0216129
2012/6/29,0.0304246
2012/7/2,0.020091
2012/7/3,0.0145818
2012/7/5,0.0206801
2012/7/6,0.0247522
2012/7/9,0.0119267
2012/7/10,0.0116449
2012/7/11,0.0197837
2012/7/12,0.0151658
2012/7/13,0.0127168
2012/7/16,0.0154856
2012/7/17,0.0172251
2012/7/18,0.0125808
2012/7/19,0.0176443
2012/7/20,0.011934
2012/7/23,0.0183483
2012/7/24,0.0155865
2012/7/25,0.0171239
2012/7/26,0.0188989
2012/7/27,0.0283812
2012/7/30,0.0181161
2012/7/31,0.0206891
2012/8/1,0.0275191
2012/8/2,0.0310123
2012/8/3,0.0306625
2012/8/6,0.0176411
2012/8/7,0.0185453
2012/8/8,0.0227937
2012/8/9,0.021518
2012/8/10,0.0186982
2012/8/13,0.0141454
2012/8/14,0.0215189
2012/8/15,0.0253688
2012/8/16,0.0292542
2012/8/17,0.018732
2012/8/20,0.0180195
2012/8/21,0.0188062
2012/8/22,0.0233335
2012/8/23,0.0198228
2012/8/24,0.0156672
2012/8/27,0.0146675
2012/8/28,0.0123879
2012/8/29,0.0137309
2012/8/30,0.0148495
2012/8/31,0.0234946
2012/9/4,0.0203393
2012/9/5,0.0199392
2012/9/6,0.0203705
2012/9/7,0.048767
2012/9/10,0.0197834
2012/9/11,0.0163349
2012/9/12,0.0214132
2012/9/13,0.059018
2012/9/14,0.0363306
2012/9/17,0.0222277
2012/9/18,0.0211137
2012/9/19,0.0171374
2012/9/20,0.0233258
2012/9/21,0.019799
2012/9/24,0.0138365
2012/9/25,0.0156326
2012/9/26,0.0160648
2012/9/27,0.016357
2012/9/28,0.018154
2012/10/1,0.0157351
2012/10/2,0.0103003
2012/10/3,0.0127765
2012/10/4,0.0132191
2012/10/5,0.0229783
2012/10/8,0.0124593
2012/10/9,0.0141958
2012/10/10,0.016768
2012/10/11,0.0184864
2012/10/12,0.0138895
2012/10/15,0.0134036
2012/10/16,0.0122128
2012/10/17,0.0191648
2012/10/18,0.0226314
2012/10/19,0.0125281
2012/10/22,0.015662
2012/10/23,0.0156833
2012/10/24,0.0187605
2012/10/25,0.0267061
2012/10/26,0.0217131
2012/10/29,0.0151125
2012/10/30,0.0190136
2012/10/31,0.0169893
2012/11/1,0.0199038
2012/11/2,0.0296817
2012/11/5,0.014924
2012/11/6,0.0185317
2012/11/7,0.0256742
2012/11/8,0.0190251
2012/11/9,0.0178414
2012/11/12,0.0106191
2012/11/13,0.01475
2012/11/14,0.0169209
2012/11/15,0.0133508
2012/11/16,0.0137096
2012/11/19,0.00958727
2012/11/20,0.0138676
2012/11/21,0.0155976
2012/11/23,0.00951141
2012/11/26,0.0117327
2012/11/27,0.0131416
2012/11/28,0.0151434
2012/11/29,0.0128797
2012/11/30,0.0101354
2012/12/3,0.0172602
2012/12/4,0.0134144
2012/12/5,0.0127671
2012/12/6,0.00964375
2012/12/7,0.0195111
2012/12/10,0.0104005
2012/12/11,0.011311
2012/12/12,0.0196932
2012/12/13,0.0190429
2012/12/14,0.0153555
2012/12/17,0.0136107
2012/12/18,0.0202729
2012/12/19,0.0198935
2012/12/20,0.0124031
2012/12/21,0.0173812
2012/12/24,0.00836509
2012/12/26,0.0162525
2012/12/27,0.017987
2012/12/28,0.0145044
2012/12/31,0.0336273
2013/1/2,0.0236519
2013/1/3,0.0256079
2013/1/4,0.0266876
2013/1/7,0.015078
2013/1/8,0.0143885
2013/1/9,0.0167859
2013/1/10,0.0188225
2013/1/11,0.0214369
2013/1/14,0.0153063
2013/1/15,0.012051
2013/1/16,0.0114104
2013/1/17,0.0199263
2013/1/18,0.0177487
2013/1/22,0.0202512
2013/1/23,0.0132717
2013/1/24,0.0208786
2013/1/25,0.0209087
2013/1/28,0.0224935
2013/1/29,0.018215
2013/1/30,0.0241493
2013/1/31,0.0180009
2013/2/1,0.039691
2013/2/4,0.0245977
2013/2/5,0.0174856
2013/2/6,0.0170188
2013/2/7,0.0186583
2013/2/8,0.0177649
2013/2/11,0.0135761
2013/2/12,0.016944
2013/2/13,0.0183093
2013/2/14,0.020096
2013/2/15,0.0168127
2013/2/19,0.0152439
2013/2/20,0.0219963
2013/2/21,0.0194842
2013/2/22,0.0164161
2013/2/25,0.0225026
