Date,Volatility
2017/12/18,1.02611
2017/12/19,1.09387
2017/12/20,1.77054
2017/12/21,1.33055
2017/12/22,3
2017/12/26,1.52539
2017/12/27,1.24218
2017/12/28,1.75846
2017/12/29,1.0092
2018/1/2,1.42819
2018/1/3,0.736985
2018/1/4,0.813583
2018/1/5,0.840741
2018/1/8,1.25407
2018/1/9,0.870409
2018/1/10,1.07846
2018/1/11,1.58667
2018/1/12,0.94831
2018/1/16,2.15625
2018/1/17,2.88367
2018/1/18,1.76549
2018/1/19,1.3688
2018/1/22,1.2798
2018/1/23,1.57519
2018/1/24,1.24525
2018/1/25,0.934371
2018/1/26,1.15371
2018/1/29,0.667324
2018/1/30,1.17667
2018/1/31,1.17889
2018/2/1,1.36884
2018/2/2,2.09669
2018/2/5,2.12812
2018/2/6,3
2018/2/7,1.8106
2018/2/8,1.54552
2018/2/9,1.3806
2018/2/12,0.921271
2018/2/13,0.711688
2018/2/14,0.718291
2018/2/15,0.889997
2018/2/16,0.73916
2018/2/20,0.622745
2018/2/21,1.06365
2018/2/22,1.10136
2018/2/23,0.812678
2018/2/26,0.879297
2018/2/27,0.661129
2018/2/28,0.73065
2018/3/1,0.570369
2018/3/2,0.560034
2018/3/5,0.306753
2018/3/6,0.557374
2018/3/7,1.0117
2018/3/8,1.07401
2018/3/9,1.44756
2018/3/12,1.05032
2018/3/13,1.2308
2018/3/14,0.99979
2018/3/15,1.21344
2018/3/16,0.969642
2018/3/19,1.05846
2018/3/20,0.748741
2018/3/21,0.596958
2018/3/22,0.684985
2018/3/23,0.650168
2018/3/26,0.621911
2018/3/27,0.843101
2018/3/28,0.589128
2018/3/29,0.70564
2018/4/2,0.68996
2018/4/3,0.594925
2018/4/4,0.741237
2018/4/5,0.913206
2018/4/6,0.602971
2018/4/9,0.608388
2018/4/10,0.423503
2018/4/11,0.272472
2018/4/12,1.18126
2018/4/13,0.759198
2018/4/16,0.579967
2018/4/17,0.527795
2018/4/18,0.518815
2018/4/19,0.46917
2018/4/20,0.398991
2018/4/23,0.39689
2018/4/24,0.497983
2018/4/25,0.85244
2018/4/26,0.66508
2018/4/27,0.459794
2018/4/30,0.388954
2018/5/1,0.536445
2018/5/2,0.318392
2018/5/3,0.441452
2018/5/4,0.531676
2018/5/7,0.538918
2018/5/8,0.470414
2018/5/9,0.402847
2018/5/10,0.427065
2018/5/11,0.656102
2018/5/14,0.643824
2018/5/15,0.534066
2018/5/16,0.678193
2018/5/17,0.440228
2018/5/18,0.459763
2018/5/21,0.411853
2018/5/22,0.396732
2018/5/23,0.595566
2018/5/24,0.68763
2018/5/25,0.533005
2018/5/29,0.500496
2018/5/30,0.428267
2018/5/31,0.370885
2018/6/1,0.455521
2018/6/4,0.315486
2018/6/5,0.331502
2018/6/6,0.33305
2018/6/7,0.284947
2018/6/8,0.223677
2018/6/11,0.539247
2018/6/12,0.469833
2018/6/13,0.765821
2018/6/14,0.675755
2018/6/15,0.522903
2018/6/18,0.498105
2018/6/19,0.329972
2018/6/20,0.405939
2018/6/21,0.248899
2018/6/22,0.758248
2018/6/25,0.451381
2018/6/26,0.387029
2018/6/27,0.452756
2018/6/28,0.315886
2018/6/29,0.470737
2018/7/2,0.43063
2018/7/3,0.196152
2018/7/5,0.498398
2018/7/6,0.369384
2018/7/9,0.256163
2018/7/10,0.443049
2018/7/11,0.423779
2018/7/12,0.392658
2018/7/13,0.425142
2018/7/16,0.398919
2018/7/17,0.633495
2018/7/18,0.579331
2018/7/19,0.40218
2018/7/20,0.52485
2018/7/23,0.540087
2018/7/24,0.578981
2018/7/25,0.520007
2018/7/26,0.39087
2018/7/27,0.480453
2018/7/31,0.529972
2018/8/1,0.473672
2018/8/2,0.389412
2018/8/3,0.441314
2018/8/6,0.366731
2018/8/7,0.520012
2018/8/8,0.750918
2018/8/9,0.578625
2018/8/10,0.670223
2018/8/13,0.615437
2018/8/14,0.736262
2018/8/15,0.721449
2018/8/16,0.625602
2018/8/17,0.536498
2018/8/20,0.352525
2018/8/21,0.442028
2018/8/22,0.760783
2018/8/23,0.311105
2018/8/24,0.342845
2018/8/27,0.246758
2018/8/28,0.39324
2018/8/29,0.303493
2018/8/30,0.364098
2018/8/31,0.292029
2018/9/4,0.295689
2018/9/5,0.487096
2018/9/6,0.832672
2018/9/7,0.440398
2018/9/10,0.444048
2018/9/11,0.375687
2018/9/12,0.327742
2018/9/13,0.312176
2018/9/14,0.401211
2018/9/17,0.429273
2018/9/18,0.296141
2018/9/19,0.632455
2018/9/20,0.290147
2018/9/21,0.459249
2018/9/24,0.286018
2018/9/25,0.378826
2018/9/26,0.250202
2018/9/27,0.348963
2018/9/28,0.460197
2018/10/1,0.296636
2018/10/2,0.19569
2018/10/4,0.270449
2018/10/5,0.180968
2018/10/9,0.120665
2018/10/10,0.202792
2018/10/11,0.627565
2018/10/12,0.330493
2018/10/15,0.780303
2018/10/16,0.257254
2018/10/17,0.137913
